# SFHo EOS Table: 2famphi, nucleons_hyperons_deltas
# Equilibrium: beta_eq
# Components: photons
#            n_B              T          sigma          omega            rho            phi           mu_B           mu_C           mu_S           mu_e          mu_nu        P_total        e_total        s_total            Y_C            Y_S            Y_L      converged
  4.379457e-01              0   6.088258e+01   4.776753e+01  -4.036861e+00   0.000000e+00   1.103159e+03  -1.681739e+02   0.000000e+00   1.681739e+02   0.000000e+00   4.437278e+01   4.306316e+02   0.000000e+00   4.773852e-02   0.000000e+00   0.000000e+00              1
  4.442459e-01              0   6.150147e+01   4.848631e+01  -3.961770e+00   0.000000e+00   1.106185e+03  -1.670122e+02   0.000000e+00   1.670122e+02   0.000000e+00   4.570782e+01   4.374341e+02   0.000000e+00   4.609299e-02   0.000000e+00   0.000000e+00              1
  4.505462e-01              0   6.211525e+01   4.920684e+01  -3.886156e+00   0.000000e+00   1.109258e+03  -1.658281e+02   0.000000e+00   1.658281e+02   0.000000e+00   4.708250e+01   4.442594e+02   0.000000e+00   4.448860e-02   0.000000e+00   0.000000e+00              1
  4.568464e-01              0   6.272381e+01   4.992920e+01  -3.810085e+00   0.000000e+00   1.112380e+03  -1.646246e+02   0.000000e+00   1.646246e+02   0.000000e+00   4.849883e+01   4.511084e+02   0.000000e+00   4.292666e-02   0.000000e+00   0.000000e+00              1
  4.631466e-01              0   6.332705e+01   5.065345e+01  -3.733631e+00   0.000000e+00   1.115553e+03  -1.634040e+02   0.000000e+00   1.634040e+02   0.000000e+00   4.995865e+01   4.579817e+02   0.000000e+00   4.140789e-02   0.000000e+00   0.000000e+00              1
  4.694469e-01              0   6.392491e+01   5.137965e+01  -3.656869e+00   0.000000e+00   1.118781e+03  -1.621687e+02   0.000000e+00   1.621687e+02   0.000000e+00   5.146367e+01   4.648802e+02   0.000000e+00   3.993259e-02   0.000000e+00   0.000000e+00              1
  4.757471e-01              0   6.451733e+01   5.210785e+01  -3.579880e+00   0.000000e+00   1.122064e+03  -1.609203e+02   0.000000e+00   1.609203e+02   0.000000e+00   5.301549e+01   4.718046e+02   0.000000e+00   3.850078e-02   0.000000e+00   0.000000e+00              1
  4.820473e-01              0   6.510429e+01   5.283810e+01  -3.502744e+00   0.000000e+00   1.125406e+03  -1.596606e+02   0.000000e+00   1.596606e+02   0.000000e+00   5.461564e+01   4.787557e+02   0.000000e+00   3.711222e-02   0.000000e+00   0.000000e+00              1
  4.883476e-01              0   6.568574e+01   5.357044e+01  -3.425543e+00   0.000000e+00   1.128806e+03  -1.583912e+02   0.000000e+00   1.583912e+02   0.000000e+00   5.626556e+01   4.857341e+02   0.000000e+00   3.576653e-02   0.000000e+00   0.000000e+00              1
  4.946478e-01              0   6.626166e+01   5.430492e+01  -3.348361e+00   0.000000e+00   1.132267e+03  -1.571133e+02   0.000000e+00   1.571133e+02   0.000000e+00   5.796665e+01   4.927407e+02   0.000000e+00   3.446321e-02   0.000000e+00   0.000000e+00              1
  5.009480e-01              0   6.683159e+01   5.504091e+01  -3.271244e+00  -6.351160e-04   1.135784e+03  -1.558292e+02   0.000000e+00   1.558292e+02   0.000000e+00   5.971742e+01   4.997769e+02   0.000000e+00   3.320218e-02   4.036323e-05   0.000000e+00              1
  5.072483e-01              0   6.738225e+01   5.575939e+01  -3.193403e+00  -2.038712e-02   1.139191e+03  -1.545661e+02   0.000000e+00   1.545661e+02   0.000000e+00   6.143502e+01   5.068626e+02   0.000000e+00   3.199886e-02   1.279561e-03   0.000000e+00              1
