M_max_Msun,R_max_km,sigma_crit_star
2.19324591506519,12.403088485356516,105.64082057874951
2.2181737318586494,12.513772538241978,105.64082057874951
2.244549117961393,12.629881514013654,105.64082057874951
2.2730092957812054,12.75531345648645,105.65954692817772
2.0402712440209685,11.179423060156674,105.85128457872541
2.2636761058236607,12.642242008634494,105.9620631768063
2.0595471248639896,11.430380137689804,106.19332957533939
2.5409302841950874,14.004394494003337,106.44535059724537
2.2260791244652016,12.40277796943828,106.57707986937073
2.380508425589846,13.10394343664343,106.63931340243498
2.3033620715533694,12.894242974307819,106.67507584269877
2.010419496890716,10.984758082511028,106.71322510929599
2.1565753767235285,11.988099928753217,106.75515875134393
2.235133784575151,12.283836531949593,107.18544212354062
2.2991793365457314,12.833972835627247,107.49665428174089
2.583102056489686,14.22812814695781,107.65525962029135
2.09026933745739,11.598366521429426,107.79854658619003
2.4194983389946816,13.30702212730153,107.9918673826216
2.1024408379658954,11.540339956302724,108.05130321203107
2.260277248120414,12.586037525311287,108.08045795532514
2.0709346055628473,11.337359693118213,108.21230357617354
2.1890638491545173,12.167281463206496,108.27669425171358
2.2704473578646973,12.474526155320678,108.6935740496822
2.3351189213980112,13.034153263750202,108.99845161193275
2.040512313000377,11.143620262720711,109.15439446642735
2.459105591554602,13.521972042971454,109.30002979541777
2.121484959705904,11.763931188294915,109.36063285872181
2.0270044971482104,11.224501883804491,109.50702026014395
2.295586814642994,12.780922306725756,109.54953556749085
2.1341196318713114,11.71284042621209,109.65445144655844
2.223063660729924,12.34726971264127,109.76211632449383
2.0106350575621423,10.95055589812689,110.11746321117494
2.306043392643432,12.662932527263992,110.15217364664638
2.1025753402455694,11.50729459061632,110.50326833300502
2.4995278062775,13.733320355994227,110.56681837540691
2.1540143490910078,11.942844113071725,110.88178199529773
2.3317664142718098,12.974549155460732,110.98631253829289
2.0571872666214355,11.386091720488063,111.1376075391395
2.257493117931078,12.538387639415987,111.21310596479621
2.1673832495248755,11.886482000147794,111.23527068597792
2.0710784327048133,11.306488604833644,111.52318845693107
2.3434162504926794,12.861750003278937,111.56231546593361
2.5415172356925044,13.960170756214268,111.79495422770773
2.1867009553204158,12.11661651510211,112.3643306159953
2.3683174181429854,13.17731960540507,112.39120239855154
2.040891664325155,11.11212991779161,112.56485302714485
2.2925959607550355,12.726219537474329,112.63072327587022
2.0880946550040504,11.552135783000896,112.71987094024132
2.1344626007626584,11.67742992590053,112.72726156610905
2.2009192948323526,12.06554276001469,112.7850824310586
2.3810507554334293,13.060035397777272,112.92724554875527
2.5838326902730775,14.183973738208424,112.98693748047037
2.010976080945062,10.920217287204975,113.62373435349322
2.2205717323530987,12.301103225119718,113.81016962507361
2.1029017312431537,11.47149353882631,113.8222502908776
2.329051336387962,12.92555776083851,114.01601086976038
2.419929017005996,13.266490614856016,114.24761885760036
2.1192209322625755,11.722088022163494,114.25667198449473
2.235273831009243,12.246775574497848,114.2970892343537
2.1676269273550024,11.848195436482428,114.88703469909795
2.0713715261813856,11.270254832580363,114.94089554789622
2.025130942930047,11.183704271116548,115.11741301221564
2.2551717144363983,12.489691320994563,115.22066779696621
2.002757896573601,11.214995537971115,115.29031502890184
2.3657059726004976,13.12521179441645,115.36986786767446
2.0081954751670765,11.27195745973175,115.44780226969768
2.4598095188869245,13.475395100207509,115.52704015995586
2.1518121951846463,11.892976720017561,115.7505527618892
2.270796293671585,12.432868593199352,115.76809270853981
2.134958005487172,11.641679378068623,116.05528125809131
2.0413581951935713,11.075950338709736,116.07827265534155
2.2901475099612227,12.677357165969351,116.59799682844321
2.40397795139538,13.330291844728462,116.69320429779108
2.0551831227863726,11.341715575266546,116.73365885788806
2.5003068868122833,13.694214415842078,116.76689195920842
2.2013877855756596,12.029722652126734,116.98536950004188
2.031782369204941,11.376819565610605,117.0921721644009
2.0144324470978794,11.331396187489842,117.1255544936111
2.3065792569330714,12.626602210688786,117.19574269460962
2.1847465929569103,12.074321998890866,117.20505975622757
2.011361941154562,10.88715826984928,117.22963105418869
2.103409967456596,11.436136632667335,117.24850881425769
2.037508018747306,11.432849830160674,117.35107642028338
2.3268223247123117,12.875917940785113,117.94263404916919
2.542419499499468,13.910759696251546,117.97066805477165
2.0266165319000855,11.31800128945411,118.2165840323223
2.1680811604259036,11.813669589956886,118.22482228345545
2.0862699036996903,11.510892970662793,118.29930625356681
2.0720046929582447,11.239644503542028,118.4617648585477
2.343940938293771,12.816677207652392,118.58098847818535
2.218482891342773,12.253825602705957,118.62134738428108
2.0616714430985565,11.540528485885803,118.8570328551448
2.2356382856090002,12.20754276316393,119.02436412793045
2.0006311439832225,11.298778438427927,119.06618883785929
2.0216206085780537,11.39600072624299,119.06618883785929
2.043833100836369,11.495990739527478,119.06618883785929
2.5851452513444957,14.143459274718788,119.13850445520843
2.067223965224126,11.599138012627916,119.21561802025184
2.363746503785347,13.073144095685196,119.25592425231315
2.1356153341605943,11.607762067833407,119.49019038638663
2.04193926217794,11.044622389745069,119.68996332672833
2.117523079758202,11.676403726496085,119.81916268229627
2.0566734616103823,11.485859941857791,119.90107072359153
2.381867749099006,13.022713130461813,119.92289900517964
2.2533154001710765,12.441134352418162,120.0016426986657
2.2020197386803395,11.990390148493272,120.33283308555568
2.022218639720923,11.269417665487996,120.48693724330816
2.40189331754162,13.279486244141262,120.53884719066959
2.0917752716974465,11.706450885027158,120.58572470138137
2.1039451186725424,11.401994633658578,120.7770628001339
2.0118090406333713,10.856578544553503,120.9289603556875
2.0093549838651525,11.372982271613877,120.95129574111965
2.029556830430764,11.4634565571923,120.95129574111965
2.0508893713476564,11.558032302902408,120.95129574111965
2.073439924446781,11.656856655074357,120.95129574111965
2.0972976343984895,11.764828058715233,121.04215267215824
2.2713901218211126,12.396658223678843,121.06941904093667
2.4206527811181036,13.220746444548682,121.22427429815001
2.150095669065309,11.85126537739234,121.29435066435536
2.023574257847859,11.14260751926224,121.34372226670548
2.2883839258210434,12.63194732932512,121.34759545359162
2.086916441048709,11.652448144338875,121.55067975268614
2.1686338104976475,11.776954122089302,121.66876797657682
2.440973346639819,13.487615562372723,121.7922778328726
2.0726814871423738,11.206034642829964,122.08040278672168
2.0522059561056687,11.433516832154057,122.10627266087394
2.1230748574886955,11.88023294279736,122.27898538892825
2.236238803930801,12.174176527006768,122.3822145350453
2.4608070825905544,13.4371131042838,122.48477720915818
2.3250516714869987,12.823322682714277,122.66013619346444
2.183172560964639,12.03050857923813,122.72768987473165
2.0010879998309647,11.364864096517271,122.78349799570879
2.019010489726053,11.445434850691276,122.78349799570879
2.0381845772235287,11.53081058996232,122.78349799570879
2.058658744076858,11.625351089523198,122.78349799570879
2.0803172674388652,11.722888146259711,122.78349799570879
2.1038173049535827,11.828998956756953,122.78349799570879
2.1287495308457864,11.938887983291457,122.83129908065483
2.053510338808613,11.303341571052496,122.94613288229648
2.1363544238507024,11.571099923387024,123.0275162298101
2.118015457615513,11.820207360933361,123.16598279807819
2.307371823218304,12.584273506616537,123.30305791766774
2.0424889155738573,11.008256776447713,123.39578300111789
2.0826085405836174,11.598027017932543,123.69189038680021
2.5011805658488777,13.645731549553991,123.70732363208863
2.0184046971865084,11.221001751914423,123.73585744347466
2.202765556116348,11.956339316379262,123.78699725525978
2.154894085846608,12.052576672602711,123.93720813696856
2.3622158493271264,13.027023298018513,123.94229937873992
2.216729335128136,12.20798133486714,124.12311367640197
2.272132461372851,12.35359173895371,124.37498492367622
2.1045652410604605,11.367869993965781,124.40399641759353
2.084788764337142,11.466035644010137,124.49870104952407
2.01263106809535,11.44801072324324,124.56466174141357
2.029530245808135,11.52576389007082,124.56466174141357
2.0477347840706366,11.608119206465135,124.56466174141357
2.0671784898021714,11.695294250702725,124.56466174141357
2.0882097688816192,11.791494199345113,124.56466174141357
2.111005023938388,11.892819962847932,124.56466174141357
2.1350722793219807,12.001266206391486,124.56466174141357
2.160381348911193,12.11434916321395,124.58361920817786
2.012283214213169,10.823051032833709,124.71840371993794
2.1499874419220792,11.998149692907734,124.7479789047027
2.543750187335433,13.871142596929609,124.89316537308068
2.400146983805555,13.224076866981198,125.192988386161
2.1693048424308383,11.744453675876887,125.21556806478951
2.1134656789055666,11.767387572442985,125.2434785597308
2.0482259896581856,11.380790957300308,125.30220326917262
2.251799702356906,12.396356712079271,125.48036398337227
2.3446857250293345,12.779752878146729,125.48452379962691
2.187173290421834,12.231885894601296,125.5609683442955
