n_B_over_n0,T_MeV,R_star_fm
0.1,50.0,6.64431933
0.13979930511686672,50.0,5.12264786
0.17959867340492736,50.0,4.37017051
0.21939797852179407,50.0,3.90917834
0.25919734680985473,50.0,3.59162814
0.2989966519267214,50.0,3.35607413
0.33879595704358817,50.0,3.17226205
0.3785953253316488,50.0,2.63116081
0.4183946304485155,50.0,2.63116081
0.4581939987365761,50.0,2.63116081
0.49799330385344287,50.0,2.63116081
0.5377926721415035,50.0,2.63116081
0.5775919772583702,50.0,2.63112315
0.6173912823752369,50.0,2.55064479
0.6571907770056854,50.0,2.47884631
0.6969898926089704,50.0,2.4143851
0.7367890082122552,50.0,2.35618949
0.7765887555274795,50.0,2.30340138
0.8163878711307644,50.0,2.25530686
0.8561869867340492,50.0,2.21132111
0.8959867340492736,50.0,2.17094778
0.9357858496525585,50.0,2.13376761
0.9755855969677827,50.0,2.09942204
1.0153847125710675,50.0,2.0676012
1.0551838281743526,50.0,2.03804246
1.0949835754895767,50.0,2.01051
1.1347826910928616,50.0,1.98480552
1.1745818066961466,50.0,1.96075064
1.214381554011371,50.0,1.93819047
1.2541806696146558,50.0,1.91698861
1.2939797852179407,50.0,1.89702341
1.333779532533165,50.0,1.87819045
1.3735786481364498,50.0,1.86039549
1.413377763739735,50.0,1.84355288
1.453177511054959,50.0,1.82759105
1.4929766266582438,50.0,1.81244116
1.532775742261529,50.0,1.79804603
1.5725754895767532,50.0,1.78435213
1.6123746051800378,50.0,1.77131314
1.652173720783323,50.0,1.75888459
1.6919734680985472,50.0,1.74702783
1.7317725837018318,50.0,1.73571224
1.771571699305117,50.0,1.72490154
1.8113714466203412,50.0,1.71457119
1.8511705622236259,50.0,1.70469342
1.890969677826911,50.0,1.69524473
1.9307694251421352,50.0,1.68620284
1.9705685407454203,50.0,1.67754808
2.010367656348705,50.0,1.66926152
2.050167403663929,50.0,1.6613263
2.089966519267214,50.0,1.65372665
2.129765634870499,50.0,1.64644518
2.169565382185723,50.0,1.63947099
2.209364497789008,50.0,1.63278798
2.249163613392293,50.0,1.62638542
2.2889633607075175,50.0,1.62024926
2.328762476310802,50.0,1.61436867
2.368561591914087,50.0,1.60873172
2.4083613392293115,50.0,1.60332948
2.448160454832596,50.0,1.59815113
2.4879595704358817,50.0,1.59318498
2.5277593177511055,50.0,1.58842107
2.56755843335439,50.0,1.58385798
2.6073575489576757,50.0,1.57947322
2.6471572962728995,50.0,1.57525735
2.686956411876184,50.0,1.57122933
2.726756159191409,50.0,1.56733908
2.7665552747946935,50.0,1.56360504
2.8063543903979786,50.0,1.5600183
2.846154137713203,50.0,1.55655622
2.8859532533164876,50.0,1.55322333
2.9257523689197726,50.0,1.55001091
2.965552116234997,50.0,1.54689531
3.0053512318382816,50.0,1.54389528
3.0451503474415667,50.0,1.54097275
3.084950094756791,50.0,1.53814634
3.124749210360076,50.0,1.53540621
3.1645483259633607,50.0,1.53272764
3.204348073278585,50.0,1.53011442
3.2441471888818696,50.0,1.52755602
3.283946304485155,50.0,1.5250418
3.323746051800379,50.0,1.5225897
3.3635451674036636,50.0,1.52015932
3.403344283006949,50.0,1.5177537
3.443144030322173,50.0,1.51539118
3.4829431459254576,50.0,1.51303043
3.522742261528743,50.0,1.51067417
3.562542008843967,50.0,1.50834099
3.6023411244472525,50.0,1.50598841
3.642140240050537,50.0,1.50365054
3.681939987365761,50.0,1.50128459
3.7217391029690465,50.0,1.49890939
3.761538218572331,50.0,1.4964969
3.801337965887555,50.0,1.49406811
3.8411370814908405,50.0,1.49161033
3.880936197094125,50.0,1.48911308
3.92073594440935,50.0,1.48656143
3.9605350600126346,50.0,1.48396405
4.00033417561592,50.0,1.48132505
4.040133922931144,50.0,1.47863298
4.079933038534429,50.0,1.47587879
4.119732154137713,50.0,1.47306775
4.1595319014529375,50.0,1.47017289
4.199331017056222,50.0,1.4672207
4.239130132659508,50.0,1.46419708
4.278929879974732,50.0,1.46109832
4.318728995578017,50.0,1.45791473
4.358528742893241,50.0,1.45465154
4.3983278584965255,50.0,1.45130614
4.43812697409981,50.0,1.44786929
4.477926721415035,50.0,1.44435134
4.51772583701832,50.0,1.44072889
4.557524952621605,50.0,1.43701297
4.597324699936829,50.0,1.4332145
4.6371238155401135,50.0,1.42931047
4.676922931143398,50.0,1.42531482
4.716722678458623,50.0,1.42120672
4.756521794061908,50.0,1.41699604
4.796320909665193,50.0,1.41267969
4.836120656980417,50.0,1.40827469
4.875919772583702,50.0,1.40375638
4.915718888186986,50.0,1.39912426
4.955518635502211,50.0,1.39437567
4.995317751105496,50.0,1.38952426
5.035116866708781,50.0,1.38456745
5.074916614024005,50.0,1.37950719
5.11471572962729,50.0,1.37432033
5.154514845230575,50.0,1.36904001
5.194314592545799,50.0,1.36363524
5.234113708149084,50.0,1.35811625
5.273912823752369,50.0,1.35248733
5.313712571067593,50.0,1.34674351
5.353511686670878,50.0,1.34088892
5.393310802274163,50.0,1.33491917
5.433110549589387,50.0,1.32885441
5.472909665192672,50.0,1.3226567
5.512708780795958,50.0,1.31636429
5.552508528111181,50.0,1.30995897
5.592307643714466,50.0,1.30344203
5.632106759317751,50.0,1.29681119
5.6719065066329755,50.0,1.29006997
5.711705622236261,50.0,1.28323413
5.751504737839546,50.0,1.27629091
5.791304485154769,50.0,1.26923717
5.831103600758055,50.0,1.26209411
5.870902716361339,50.0,1.25482877
5.9107024636765635,50.0,1.24747466
5.950501579279849,50.0,1.24003386
5.990300694883134,50.0,1.23247593
6.030100442198358,50.0,1.22483435
6.069899557801643,50.0,1.21710995
6.109699305116867,50.0,1.20927418
6.149498420720152,50.0,1.20135949
6.189297536323437,50.0,1.1933694
6.22909728363866,50.0,1.18528875
6.268896399241946,50.0,1.1771188
6.308695514845231,50.0,1.16886426
6.348496525584333,50.0,1.16054304
6.3882943777637395,50.0,1.1521562
6.428092229943147,50.0,1.14368972
6.467890082122553,50.0,1.13514826
6.507694251421352,50.0,1.1265492
