alpha_s,B4_MeV,Delta0_MeV,sigma_crit_star,M_max_Msun,reject_reason_code
0.0,140.0,36.0,,2.112006171358675,6
0.0,141.0,36.0,,2.0825454985255263,6
0.0,142.0,36.0,,2.0536791685488414,6
0.0,143.0,36.0,,2.0254028826797765,6
0.0,144.0,36.0,,1.9977480470787519,4
0.0,145.0,36.0,,1.9706336758971805,4
0.0,146.0,36.0,,1.9440690126883464,4
0.0,147.0,36.0,,1.9180326544925592,4
0.0,148.0,36.0,,1.8925187625401603,4
0.0,149.0,36.0,,1.8675140314267125,4
0.0,150.0,36.0,,1.8429814426964986,4
0.0,151.0,36.0,,1.8189610645382137,4
0.0,152.0,36.0,,1.795395968405524,4
0.0,153.0,36.0,,1.7722836510059858,4
0.0,154.0,36.0,,1.7495892935849169,4
0.0,155.0,36.0,,1.7273306224310776,4
0.0,156.0,36.0,,1.705519110016251,4
0.0,157.0,36.0,,1.6841221017792993,4
0.0,158.0,36.0,,1.6631388509951792,4
0.0,159.0,36.0,,1.642511721044981,4
0.0,160.0,36.0,,1.62228993455704,4
0.0,161.0,36.0,,1.6024310876082055,4
0.0,162.0,36.0,,,1
0.0,163.0,36.0,,,1
0.0,164.0,36.0,,,1
0.0,165.0,36.0,,,1
0.0,166.0,36.0,,,1
0.0,167.0,36.0,,,1
0.0,168.0,36.0,,,1
0.0,169.0,36.0,,,1
0.0,170.0,36.0,,,1
0.0,171.0,36.0,,,1
0.0,172.0,36.0,,,1
0.0,173.0,36.0,,,1
0.0,174.0,36.0,,,1
0.0,175.0,36.0,,,1
0.0,176.0,36.0,,,1
0.0,177.0,36.0,,,1
0.0,178.0,36.0,,,1
0.0,179.0,36.0,,,1
0.0,180.0,36.0,,,1
0.0,130.0,40.0,,2.464363188061645,6
0.0,131.0,40.0,,2.4270751853613532,6
0.0,132.0,40.0,,2.390628875687391,6
0.0,133.0,40.0,,2.3550104947177006,6
0.0,134.0,40.0,,2.3202147362170376,6
0.0,135.0,40.0,,2.2861154491199915,6
0.0,136.0,40.0,,2.25280404924885,6
0.0,137.0,40.0,,2.220236880651142,6
0.0,138.0,40.0,,2.1883129849368483,6
0.0,139.0,40.0,,2.157138308138562,6
0.0,140.0,40.0,,2.1266023262688796,6
0.0,141.0,40.0,,2.09675222878537,6
0.0,142.0,40.0,,2.0674876888006133,6
0.0,143.0,40.0,,2.038846826421617,6
0.0,144.0,40.0,,2.010752820609141,6
0.0,145.0,40.0,,1.983275341224724,4
0.0,146.0,40.0,,1.956375850288687,4
0.0,147.0,40.0,,1.9300107782649862,4
0.0,148.0,40.0,,1.904149601886364,4
0.0,149.0,40.0,,1.8788338189821572,4
0.0,150.0,40.0,,1.8539923139003638,4
0.0,151.0,40.0,,1.8296682392093133,4
0.0,152.0,40.0,,1.805819240501873,4
