T_MeV,phase,nBH_over_n0,R_star_fm,W_over_T,log10_tau_s
40.0,cfl,11.880600126342388,0.397902382,1.6577433375,-72.14554749142295
40.0,cfl,11.920404295641188,0.392872405,1.616103985,-72.14952009837464
40.0,cfl,11.960202147820594,0.387906972,1.5755180975,-72.15305418878997
40.0,cfl,12.0,0.383007123,1.535973915,-72.15616107963628
40.0,unpCFL,0.1,9.39972682,925.01036,inf
40.0,unpCFL,0.13979930511686672,7.99763546,669.612875,218.50062008496513
40.0,unpCFL,0.17959867340492736,7.20451498,543.3611149999999,163.51253227314106
40.0,unpCFL,0.21939797852179407,6.67814061,466.83705,130.14562489647625
40.0,unpCFL,0.25919734680985473,6.29429721,414.68811500000004,107.38240066327356
40.0,unpCFL,0.2989966519267214,5.99652435,376.354875,90.63254013430735
40.0,unpCFL,0.33879595704358817,5.75531573,346.6623075,77.6455991788366
40.0,unpCFL,0.3785953253316488,5.55368641,322.7750575,67.18811174579702
40.0,unpCFL,0.4183946304485155,5.38111156,303.00471,58.525285138727455
40.0,unpCFL,0.4581939987365761,5.23069134,286.28001,51.19072865238844
40.0,unpCFL,0.49799330385344287,5.09769232,271.886085,44.8730895404618
40.0,unpCFL,0.5377926721415035,4.97873366,259.3247625,39.35531562044054
40.0,unpCFL,0.5775919772583702,4.87131227,248.235691,34.48035343640815
40.0,unpCFL,0.6173912823752369,4.77351794,238.35002325,30.130993767523357
40.0,unpCFL,0.6571907770056854,4.68386602,229.46295025,26.217922604814877
40.0,unpCFL,0.6969898926089704,4.60117614,221.41486675000002,22.671521171990292
40.0,unpCFL,0.7367890082122552,4.52449007,214.07879425000002,19.4363920863992
40.0,unpCFL,0.7765887555274795,3.43621881,208.59014699999997,17.172224077568984
40.0,unpCFL,0.8163878711307644,3.43621881,205.26439025,15.677729249613494
40.0,unpCFL,0.8561869867340492,3.43621881,202.0769535,14.245029693379495
40.0,unpCFL,0.8959867340492736,3.43621881,199.01960524999998,12.870384261496357
40.0,unpCFL,0.9357858496525585,3.43621881,196.084441,11.550219745375498
40.0,unpCFL,0.9755855969677827,3.43621881,193.2639855,10.281166682011236
40.0,unpCFL,1.0153847125710675,3.43621881,190.55172775,9.060290303634448
40.0,unpCFL,1.0551838281743526,3.43621881,187.94102800000002,7.884614741425759
40.0,unpCFL,1.0949835754895767,3.43621881,185.42659125,6.751755889248421
40.0,unpCFL,1.1347826910928616,3.43621881,183.00271949999998,5.65916835241759
40.0,unpCFL,1.1745818066961466,3.43621881,180.66466250000002,4.604723783612849
40.0,unpCFL,1.214381554011371,3.43621881,178.40798850000002,3.586439119718637
40.0,unpCFL,1.2541806696146558,3.43621881,176.228485,2.6024338729824286
40.0,unpCFL,1.2939797852179407,3.43621881,174.12269925,1.6511608763481418
40.0,unpCFL,1.333779532533165,3.43621881,172.08733175,0.7311433342326722
40.0,unpCFL,1.3735786481364498,3.43621881,170.11927325,-0.15900615723625577
40.0,unpCFL,1.413377763739735,3.43621881,168.2161275,-1.020365885637712
40.0,unpCFL,1.453177511054959,3.43621881,166.3753955,-1.8540534908156008
40.0,unpCFL,1.4929766266582438,3.43621881,164.59489625,-2.6610455267441555
40.0,unpCFL,1.532775742261529,3.43621881,162.87268875,-3.442213049781446
40.0,unpCFL,1.5725754895767532,3.43621881,161.20724775000002,-4.198245122751193
40.0,unpCFL,1.6123746051800378,3.43621881,159.59714400000001,-4.929786573457976
40.0,unpCFL,1.652173720783323,3.43621881,158.0407155,-5.63758007833766
40.0,unpCFL,1.6919734680985472,3.43621881,156.53691925,-6.3221006018999875
