flavor_mode,phase,nBH_over_n0,T_nuc_MeV
saddlepoint,cfl,1.890969677826911,31.131857801956794
saddlepoint,cfl,1.9307694251421352,30.64202425556168
saddlepoint,cfl,1.9705685407454203,30.166826556035453
saddlepoint,cfl,2.010367656348705,29.706407906164845
saddlepoint,cfl,2.050167403663929,29.259066450121143
saddlepoint,cfl,2.089966519267214,28.826042252573277
saddlepoint,cfl,2.129765634870499,28.40631320851125
saddlepoint,cfl,2.169565382185723,28.00013879234956
saddlepoint,cfl,2.209364497789008,27.606059004785898
saddlepoint,cfl,2.249163613392293,27.22492030035996
saddlepoint,cfl,2.2889633607075175,26.85603440665687
saddlepoint,cfl,2.328762476310802,26.498802448495002
saddlepoint,cfl,2.368561591914087,26.15336995118897
saddlepoint,cfl,2.4083613392293115,25.818576563510767
saddlepoint,cfl,2.448160454832596,25.495104088217925
saddlepoint,cfl,2.4879595704358817,25.182066430805346
saddlepoint,cfl,2.5277593177511055,24.878920445243914
saddlepoint,cfl,2.56755843335439,24.58545870788299
saddlepoint,cfl,2.6073575489576757,24.300732930522887
saddlepoint,cfl,2.6471572962728995,24.025069320299938
saddlepoint,cfl,2.686956411876184,23.757343177796816
saddlepoint,cfl,2.726756159191409,23.497200541299666
saddlepoint,cfl,2.7665552747946935,23.243988944961576
saddlepoint,cfl,2.8063543903979786,22.997414907210565
saddlepoint,cfl,2.846154137713203,22.75737686811701
saddlepoint,cfl,2.8859532533164876,22.522290306052806
saddlepoint,cfl,2.9257523689197726,22.29311394195942
saddlepoint,cfl,2.965552116234997,22.068287843863423
saddlepoint,cfl,3.0053512318382816,21.847593170678365
saddlepoint,cfl,3.0451503474415667,21.63130327811137
saddlepoint,cfl,3.084950094756791,21.418246528484268
saddlepoint,cfl,3.124749210360076,21.208408877727155
saddlepoint,cfl,3.1645483259633607,21.001136280739857
saddlepoint,cfl,3.204348073278585,20.79681608186981
saddlepoint,cfl,3.2441471888818696,20.593909369671312
saddlepoint,cfl,3.283946304485155,20.392924837663596
saddlepoint,cfl,3.323746051800379,20.193533476256967
saddlepoint,cfl,3.3635451674036636,19.995378985043132
saddlepoint,cfl,3.403344283006949,19.798265942630078
saddlepoint,cfl,3.443144030322173,19.60152907955725
saddlepoint,cfl,3.4829431459254576,19.406293894336685
saddlepoint,cfl,3.522742261528743,19.211045610714258
saddlepoint,cfl,3.562542008843967,19.016470467337154
saddlepoint,cfl,3.6023411244472525,18.822109338953002
saddlepoint,cfl,3.642140240050537,18.628417289277884
saddlepoint,cfl,3.681939987365761,18.434810906192553
saddlepoint,cfl,3.7217391029690465,18.241404484353275
saddlepoint,cfl,3.761538218572331,18.04788445317505
saddlepoint,cfl,3.801337965887555,17.854660864675076
saddlepoint,cfl,3.8411370814908405,17.661591459768548
saddlepoint,cfl,3.880936197094125,17.46820014856745
saddlepoint,cfl,3.92073594440935,17.275002486350825
saddlepoint,cfl,3.9605350600126346,17.082310449828498
saddlepoint,cfl,4.00033417561592,16.889729869991577
saddlepoint,cfl,4.040133922931144,16.69723379473753
saddlepoint,cfl,4.079933038534429,16.505815496634348
saddlepoint,cfl,4.119732154137713,16.314883439895738
saddlepoint,cfl,4.1595319014529375,16.124832177406304
saddlepoint,cfl,4.199331017056222,15.936306401924336
saddlepoint,cfl,4.239130132659508,15.748878762687129
saddlepoint,cfl,4.278929879974732,15.562925415648902
saddlepoint,cfl,4.318728995578017,15.378768945456693
saddlepoint,cfl,4.358528742893241,15.19614060864093
saddlepoint,cfl,4.3983278584965255,15.013810659927813
saddlepoint,cfl,4.43812697409981,14.832878508943919
saddlepoint,cfl,4.477926721415035,14.652928183147782
saddlepoint,cfl,4.51772583701832,14.47432134179279
saddlepoint,cfl,4.557524952621605,14.2968454937374
saddlepoint,cfl,4.597324699936829,14.121262422131394
saddlepoint,cfl,4.6371238155401135,13.947382675332134
saddlepoint,cfl,4.676922931143398,13.775727505006069
saddlepoint,cfl,4.716722678458623,13.606234530198742
saddlepoint,cfl,4.756521794061908,13.439892457108593
saddlepoint,cfl,4.796320909665193,13.276478382663688
saddlepoint,cfl,4.836120656980417,13.116399574387103
saddlepoint,cfl,4.875919772583702,12.959633423591345
saddlepoint,cfl,4.915718888186986,12.806052761052083
