prescription,R_fm,W_MeV
LCN,7.7025651302605205,-15765.436542138923
LCN,7.726573146292585,-16147.146050844603
LCN,7.750581162324649,-16532.688160660357
LCN,7.774589178356713,-16922.079281380444
LCN,7.798597194388777,-17315.335822799025
LCN,7.822605210420842,-17712.474194710303
LCN,7.846613226452906,-18113.510806908438
LCN,7.87062124248497,-18518.462069187633
LCN,7.894629258517034,-18927.344391342107
LCN,7.9186372745490985,-19340.174183166047
LCN,7.942645290581162,-19756.96785445357
LCN,7.966653306613226,-20177.741814998968
LCN,7.99066132264529,-20602.512474596355
LCN,8.014669338677354,-21031.296243039964
LCN,8.038677354709419,-21464.109530123984
LCN,8.062685370741482,-21900.968745642545
LCN,8.086693386773547,-22341.890299389954
LCN,8.110701402805612,-22786.890601160296
LCN,8.134709418837675,-23235.98606074779
LCN,8.15871743486974,-23689.193087946696
LCN,8.182725450901804,-24146.528092551103
LCN,8.206733466933867,-24608.007484355185
LCN,8.230741482965932,-25073.647673153275
LCN,8.254749498997995,-25543.465068739417
LCN,8.27875751503006,-26017.476080907916
LCN,8.302765531062125,-26495.69711945289
LCN,8.326773547094188,-26978.14459416851
LCN,8.350781563126253,-27464.834914849052
LCN,8.374789579158316,-27955.784491288636
LCN,8.39879759519038,-28451.00973328149
LCN,8.422805611222445,-28950.52705062178
LCN,8.446813627254508,-29454.352853103686
LCN,8.470821643286573,-29962.503550521447
LCN,8.494829659318636,-30474.995552669207
LCN,8.518837675350701,-30991.845269341196
LCN,8.542845691382766,-31513.069110331577
LCN,8.566853707414829,-32038.683485434507
LCN,8.590861723446894,-32568.70480444425
LCN,8.614869739478959,-33103.14947715496
LCN,8.638877755511022,-33642.03391336081
LCN,8.662885771543086,-34185.374522856044
LCN,8.68689378757515,-34733.187715434775
LCN,8.710901803607214,-35285.48990089126
LCN,8.73490981963928,-35842.29748901968
LCN,8.758917835671342,-36403.62688961414
LCN,8.782925851703407,-36969.494512469
LCN,8.80693386773547,-37539.916767378265
LCN,8.830941883767535,-38114.910064136275
LCN,8.8549498997996,-38694.49081253713
LCN,8.878957915831663,-39278.675422375
